lawa_or_NRWQN_ID,Date,Indicator_simple,Value
CCC-00005,30/08/2012,NO3-N_ppb,2.461
CCC-00005,18/09/2012,NO3-N_ppb,2.449
CCC-00005,16/10/2012,NO3-N_ppb,2.423
CCC-00005,13/11/2012,NO3-N_ppb,2.49
CCC-00005,11/12/2012,NO3-N_ppb,1.955
CCC-00005,23/01/2013,NO3-N_ppb,2.143
CCC-00005,21/02/2013,NO3-N_ppb,1.9618
CCC-00005,26/03/2013,NO3-N_ppb,1.9665
CCC-00005,24/04/2013,NO3-N_ppb,1.186
CCC-00005,23/05/2013,NO3-N_ppb,1.7347
CCC-00005,6/06/2013,NO3-N_ppb,2.2064
CCC-00005,10/07/2013,NO3-N_ppb,1.235
CCC-00005,21/08/2013,NO3-N_ppb,2.348
CCC-00005,18/09/2013,NO3-N_ppb,2.288
CCC-00005,23/10/2013,NO3-N_ppb,1.431
CCC-00005,19/11/2013,NO3-N_ppb,2.356
CCC-00005,17/12/2013,NO3-N_ppb,0.717
CCC-00005,28/01/2014,NO3-N_ppb,1.753
CCC-00005,26/02/2014,NO3-N_ppb,2.43
CCC-00005,11/03/2014,NO3-N_ppb,2.32
CCC-00005,2/04/2014,NO3-N_ppb,2.182
CCC-00005,28/05/2014,NO3-N_ppb,1.618
CCC-00005,25/06/2014,NO3-N_ppb,2.617
CCC-00005,10/07/2014,NO3-N_ppb,1.6
CCC-00005,26/08/2014,NO3-N_ppb,2.899
CCC-00005,9/09/2014,NO3-N_ppb,2.899
CCC-00005,8/10/2014,NO3-N_ppb,2.8
CCC-00005,5/11/2014,NO3-N_ppb,0.951
CCC-00005,4/12/2014,NO3-N_ppb,2.919
CCC-00005,6/01/2015,NO3-N_ppb,3.092
CCC-00005,3/02/2015,NO3-N_ppb,3.242
CCC-00005,4/03/2015,NO3-N_ppb,3.154
CCC-00005,2/04/2015,NO3-N_ppb,3.199
CCC-00005,5/05/2015,NO3-N_ppb,3.132
CCC-00005,3/06/2015,NO3-N_ppb,2.228
CCC-00005,1/07/2015,NO3-N_ppb,2.69
CCC-00005,4/08/2015,NO3-N_ppb,3.1
CCC-00005,10/09/2015,NO3-N_ppb,3.177
CCC-00005,13/10/2015,NO3-N_ppb,3.46
CCC-00005,10/11/2015,NO3-N_ppb,3.2
CCC-00005,1/12/2015,NO3-N_ppb,2.888
CCC-00005,26/01/2016,NO3-N_ppb,1.5
CCC-00005,24/02/2016,NO3-N_ppb,2.2
CCC-00005,8/03/2016,NO3-N_ppb,2.9
CCC-00005,5/04/2016,NO3-N_ppb,3.1
CCC-00005,4/05/2016,NO3-N_ppb,3.4
CCC-00005,7/06/2016,NO3-N_ppb,3.5
CCC-00005,5/07/2016,NO3-N_ppb,2.8
CCC-00005,2/08/2016,NO3-N_ppb,3.2
CCC-00005,1/09/2016,NO3-N_ppb,3.1
CCC-00005,13/10/2016,NO3-N_ppb,1.3
CCC-00005,15/11/2016,NO3-N_ppb,2.3
CCC-00005,1/12/2016,NO3-N_ppb,2.2
CCC-00005,10/01/2017,NO3-N_ppb,3.1
CCC-00005,9/02/2017,NO3-N_ppb,0.45
CCC-00005,9/03/2017,NO3-N_ppb,2.9
CCC-00005,11/04/2017,NO3-N_ppb,2.6
CCC-00005,11/05/2017,NO3-N_ppb,2.3
CCC-00005,8/06/2017,NO3-N_ppb,2.3
CCC-00005,6/07/2017,NO3-N_ppb,2.7
CCC-00005,10/08/2017,NO3-N_ppb,2.6
CCC-00005,7/09/2017,NO3-N_ppb,2.7
CCC-00005,5/10/2017,NO3-N_ppb,2.7
CCC-00005,2/11/2017,NO3-N_ppb,3
CCC-00005,5/12/2017,NO3-N_ppb,2.8
CCC-00005,16/01/2018,NO3-N_ppb,2.5
CCC-00005,15/02/2018,NO3-N_ppb,2.4
CCC-00005,15/03/2018,NO3-N_ppb,2.5
CCC-00005,12/04/2018,NO3-N_ppb,2.5
CCC-00005,16/05/2018,NO3-N_ppb,2.5
CCC-00005,13/06/2018,NO3-N_ppb,0.73
CCC-00005,11/07/2018,NO3-N_ppb,2.3
CCC-00005,9/08/2018,NO3-N_ppb,2.5
CCC-00005,12/09/2018,NO3-N_ppb,2.3
CCC-00005,10/10/2018,NO3-N_ppb,2.4
CCC-00005,8/11/2018,NO3-N_ppb,2.6
CCC-00005,4/12/2018,NO3-N_ppb,2.5
