lawa_or_NRWQN_ID,Date,Indicator_simple,Value
ECAN-00093,20/01/2016,NO3-N_ppb,6.5
ECAN-00093,16/02/2016,NO3-N_ppb,6.8
ECAN-00093,23/03/2016,NO3-N_ppb,6.5
ECAN-00093,19/04/2016,NO3-N_ppb,7.2
ECAN-00093,17/05/2016,NO3-N_ppb,6.9
ECAN-00093,22/06/2016,NO3-N_ppb,7.4
ECAN-00093,19/07/2016,NO3-N_ppb,7.4
ECAN-00093,18/08/2016,NO3-N_ppb,7.1
ECAN-00093,21/09/2016,NO3-N_ppb,7
ECAN-00093,17/10/2016,NO3-N_ppb,7.1
ECAN-00093,22/11/2016,NO3-N_ppb,6.8
ECAN-00093,13/12/2016,NO3-N_ppb,6.9
ECAN-00093,18/01/2017,NO3-N_ppb,7
ECAN-00093,20/02/2017,NO3-N_ppb,7
ECAN-00093,21/03/2017,NO3-N_ppb,7.3
ECAN-00093,20/04/2017,NO3-N_ppb,6.5
ECAN-00093,16/05/2017,NO3-N_ppb,7
ECAN-00093,20/06/2017,NO3-N_ppb,7
ECAN-00093,17/07/2017,NO3-N_ppb,7.5
ECAN-00093,22/08/2017,NO3-N_ppb,7.8
ECAN-00093,20/09/2017,NO3-N_ppb,7.6
ECAN-00093,19/10/2017,NO3-N_ppb,7.8
ECAN-00093,22/11/2017,NO3-N_ppb,8
ECAN-00093,18/12/2017,NO3-N_ppb,7.8
ECAN-00093,24/01/2018,NO3-N_ppb,7.1
ECAN-00093,22/02/2018,NO3-N_ppb,5.9
ECAN-00093,27/03/2018,NO3-N_ppb,7
ECAN-00093,26/04/2018,NO3-N_ppb,7.6
ECAN-00093,24/05/2018,NO3-N_ppb,7.4
ECAN-00093,20/06/2018,NO3-N_ppb,7.3
ECAN-00093,18/07/2018,NO3-N_ppb,8.3
ECAN-00093,22/08/2018,NO3-N_ppb,8.3
ECAN-00093,17/09/2018,NO3-N_ppb,8.4
ECAN-00093,23/10/2018,NO3-N_ppb,8
ECAN-00093,21/11/2018,NO3-N_ppb,7.9
ECAN-00093,17/12/2018,NO3-N_ppb,8.1
